Cycle,Crack Size,da/dN,a/W,Date,Time,Pmax,Pmin,Delta P,R ratio,Kmax,Kmin,Delta K,Compliance,COD max,COD min,SP-Pmax,SP-Pmin,Step,Frequency,Baseline Pmin,Baseline Delta K, Remarks,1% Sop/Smax,2% Sop/Smax,4% Sop/Smax,1% Delta Keff,2% Delta Keff,4% Delta Keff
101816,10.053,5E-07,0.394,27-Dec-19,14:43:50,1.75,0,1.75,0,12.702,0,12.702,0.028714,0.032,-0.018,1.75,0,0,50,0,12.702,,0.35,0.695,0,8.254,3.879,12.702
101920,10.053,5E-07,0.395,27-Dec-19,14:43:53,1.749,0,1.748,0,12.709,0.003,12.707,0.028206,0.032,-0.018,1.75,0,0,50,0,12.709,,0.302,0,0,8.877,12.709,12.709
102024,10.053,5E-07,0.395,27-Dec-19,14:43:54,1.748,0.006,1.742,0.003,12.697,0.041,12.657,0.028777,0.032,-0.018,1.75,0,0,50,0,12.697,,0.467,0.492,0,6.763,6.455,12.697
102128,10.053,5E-07,0.394,27-Dec-19,14:43:56,1.749,-0.002,1.751,-0.001,12.686,-0.014,12.686,0.028484,0.032,-0.018,1.75,0,0,50,0,12.686,,0.28,0.297,0,9.134,8.92,12.686
102232,10.053,5E-07,0.395,27-Dec-19,14:43:59,1.745,0.002,1.743,0.001,12.686,0.012,12.674,0.02877,0.032,-0.018,1.75,0,0,50,0,12.686,,0.304,0.475,0,8.824,6.665,12.686
102336,10.053,5E-07,0.395,27-Dec-19,14:44:01,1.748,0,1.748,0,12.718,0.003,12.715,0.028962,0.033,-0.018,1.75,0,0,50,0,12.718,,0.472,0.637,0,6.711,4.613,12.718
102440,10.053,5E-07,0.396,27-Dec-19,14:44:03,1.752,-0.001,1.753,-0.001,12.76,-0.01,12.76,0.028498,0.032,-0.018,1.75,0,0,50,0,12.76,,0.275,0.282,0,9.257,9.159,12.76
102544,10.053,5E-07,0.396,27-Dec-19,14:44:05,1.75,0.004,1.746,0.002,12.742,0.028,12.713,0.028778,0.033,-0.018,1.75,0,0,50,0,12.742,,0.445,0.455,0.475,7.076,6.947,6.687
102648,10.055,5E-07,0.396,27-Dec-19,14:44:07,1.748,-0.001,1.749,-0.001,12.725,-0.01,12.725,0.028707,0.033,-0.018,1.75,0,0,50,0,12.725,,0.453,0.489,0.737,6.958,6.5,3.351
102752,10.062,6E-07,0.396,27-Dec-19,14:44:09,1.752,0.002,1.75,0.001,12.776,0.015,12.761,0.028777,0.033,-0.018,1.75,0,0,50,0,12.776,,0.444,0.475,0,7.103,6.706,12.776
